ID,SPP,DBH,CC,BA,SWA,SWD,Multiplier
115,acsa,83.3,D,5447.02865,1880.334874,7.9555665,0.54
493,acsa,76.5,D,4594.01625,1943.708055,9.2048625,0.51
220,acsa,74.8,D,4392.1064,1940.424364,9.464444,0.50
138,acsa,73.8,C,4275.4554,1935.309053,9.607284,0.50
436,acsa,70.3,D,3879.54065,1900.265978,10.0497365,0.49
83,acsa,66.1,C,3429.82985,1827.025505,10.4626385,0.49
279,acsa,59.8,D,2807.1914,1665.968422,10.840544,0.48
51,acsa,57.4,D,2586.3866,1591.932838,10.908296,0.48
18,acsa,56.5,D,2505.91625,1562.717646,10.9228625,0.48
47,acsa,55.1,D,2383.26785,1515.877524,10.9337685,0.49
22,acsa,54.7,D,2348.79065,1502.205549,10.9342565,0.49
46,acsa,54.2,C,2306.0474,1484.946841,10.933224,0.49
619,acsa,54,C,2289.06,1477.992621,10.9323,0.49
75,acsa,51.5,D,2082.01625,1388.862198,10.8961125,0.49
139,acsa,51.1,D,2049.79985,1374.262808,10.8860885,0.49
145,acsa,50.6,D,2009.8826,1355.899041,10.871916,0.49
2759,acsa,48.7,D,1861.77665,971.2690361,7.51380041,0.57
80,acsa,48.2,D,1823.7434,950.7404313,7.430095672,0.57
373,acsa,48.1,D,1816.18385,946.6619077,7.413363794,0.57
9,acsa,47.6,D,1778.6216,926.4052043,7.329750061,0.58
159,acsa,45.9,C,1653.84585,859.2248977,7.046040791,0.59
136,acsa,45.4,C,1618.0106,839.9631033,6.962769643,0.59
173,acsa,45.4,D,1618.0106,839.9631033,6.962769643,0.59
284,acsa,43.1,C,1458.22385,754.2625469,6.580763829,0.61
1597,acsa,42.8,D,1437.9944,743.4353297,6.531065762,0.61
596,acsa,41.1,C,1326.02985,683.6080454,6.25002153,0.63
152,acsa,40.5,D,1287.59625,663.1113967,6.151068463,0.63
2768,acsa,40.4,D,1281.2456,659.7266376,6.13458862,0.63
331,acsa,40.3,C,1274.91065,656.3508311,6.118112321,0.63
162,acsa,38.9,C,1187.86985,610.0287015,5.887820766,0.65
858,acsa,38.2,C,1145.5034,587.5241938,5.772943024,0.65
79,acsa,37.1,C,1080.48185,553.0426017,5.592790852,0.67
621,acsa,36.2,C,1028.6954,525.6314411,5.44573721,0.68
62,acsa,35.4,C,983.7306,501.8701277,5.315288391,0.68
296,acsa,35.3,C,978.18065,498.9398983,5.299000122,0.69
69,acsa,35.3,C,978.18065,498.9398983,5.299000122,0.69
262,acsa,34.9,C,956.13785,487.3076484,5.23388711,0.69
78,acsa,33.9,C,902.12985,458.8470768,5.071388623,0.70
156,acsa,33.7,D,891.51665,453.2611422,5.038938293,0.71
294,acsa,33,C,854.865,433.9887278,4.925493901,0.71
141,acsa,33,C,854.865,433.9887278,4.925493901,0.71
1598,acsa,32.9,C,849.69185,431.270848,4.90930444,0.72
20,acsa,32.9,C,849.69185,431.270848,4.90930444,0.72
65,acsa,30.8,C,744.6824,376.2310002,4.570326774,0.75
15,acsa,28.7,C,646.59665,325.0649319,4.233339927,0.78
7,acsa,27.8,C,606.6794,304.3177761,4.08955784,0.80
1744,acsa,27.7,C,602.32265,302.0561732,4.073606556,0.80
283,acsa,27,C,572.265,286.4689695,3.962087295,0.81
91,acsa,27,C,572.265,286.4689695,3.962087295,0.81
413,acsa,26.8,C,563.8184,282.0938497,3.930270052,0.81
376,acsa,25.9,C,526.58585,262.8361552,3.787347205,0.82
2746,acsa,25.6,C,514.4576,256.5732186,3.739800364,0.82
2745,acsa,25.5,C,510.44625,254.5029188,3.72396203,0.82
94,acsa,25.4,C,506.4506,252.441288,3.708129034,0.82
